,R_fighter,B_fighter,Referee,date,location,Winner,weight_class,R_age,B_age,R_Stance,B_Stance,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,B_Weight_lbs,R_Weight_lbs,R_current_win_streak,B_current_win_streak,R_wins,R_losses,B_wins,B_losses
0,Adrian Yanez,Gustavo Lopez,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Red,Bantamweight,27.0,31.0,Orthodox,Orthodox,170.18,165.1,177.8,170.18,135.0,135.0,1,0,1,0,1,1
1,Trevin Giles,Roman Dolidze,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,Middleweight,28.0,32.0,Orthodox,Orthodox,182.88,187.96,187.96,193.04,205.0,185.0,2,2,4,2,2,0
2,Tai Tuivasa,Harry Hunsucker,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,Heavyweight,28.0,32.0,Southpaw,Orthodox,187.96,187.96,190.5,190.5,241.0,264.0,3,0,4,3,0,0
3,Cheyanne Buys,Montserrat Conejo,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,25.0,28.0,Switch,Southpaw,160.02,152.4,160.02,154.94,115.0,115.0,0,0,0,0,0,0
4,Marion Reneau,Macy Chiasson,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Blue,WomenBantamweight,43.0,29.0,Orthodox,Orthodox,167.64,180.34,172.72,182.88,135.0,135.0,2,3,5,6,4,1
5,Leonardo Santos,Grant Dawson,Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Blue,Lightweight,41.0,27.0,Orthodox,Switch,182.88,177.8,190.5,182.88,145.0,155.0,1,4,7,1,4,0
6,Song Kenan,Max Griffin,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Blue,Welterweight,31.0,35.0,Orthodox,Orthodox,182.88,180.34,180.34,193.04,170.0,170.0,2,0,4,1,4,6
7,Derek Brunson,Kevin Holland,Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Red,Middleweight,37.0,28.0,Southpaw,Orthodox,185.42,190.5,195.58,205.74,185.0,185.0,2,0,12,5,8,2
8,Montel Jackson,Jesse Strader,Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Red,Bantamweight,28.0,29.0,Southpaw,Orthodox,177.8,170.18,190.5,177.8,135.0,135.0,0,0,3,2,0,0
9,Bruno Silva,JP Buys,Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Red,Flyweight,31.0,24.0,,Orthodox,182.88,165.1,,170.18,125.0,185.0,0,0,0,3,0,0
10,Manel Kape,Matheus Nicolau,,2021-03-13,"Las Vegas, Nevada, USA",Blue,Flyweight,27.0,28.0,Southpaw,Orthodox,165.1,167.64,172.72,167.64,125.0,125.0,0,3,0,1,3,1
11,Misha Cirkunov,Ryan Spann,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,34.0,29.0,Orthodox,Orthodox,190.5,195.58,195.58,200.66,205.0,205.0,4,4,6,3,4,1
12,Leon Edwards,Belal Muhammad,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,Welterweight,29.0,32.0,Southpaw,Orthodox,187.96,180.34,187.96,182.88,170.0,170.0,0,0,10,2,9,3
13,Charles Jourdain,Marcelo Rojo,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Red,Featherweight,25.0,32.0,Switch,Orthodox,175.26,172.72,175.26,180.34,145.0,145.0,0,0,1,3,0,0
14,Eryk Anders,Darren Stewart,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Draw,Middleweight,33.0,30.0,Southpaw,Orthodox,185.42,182.88,190.5,187.96,185.0,185.0,2,0,5,5,5,6
15,Angela Hill,Ashley Yoder,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,WomenStrawweight,36.0,33.0,Orthodox,Southpaw,160.02,170.18,162.56,175.26,115.0,115.0,1,0,7,9,3,5
16,Jonathan Martinez,Davey Grant,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Blue,Bantamweight,26.0,35.0,Southpaw,Orthodox,172.72,172.72,177.8,175.26,135.0,135.0,0,0,4,2,3,3
17,Dan Ige,Gavin Tucker,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Red,Featherweight,29.0,34.0,Orthodox,Southpaw,170.18,167.64,180.34,167.64,145.0,145.0,0,1,6,2,4,1
18,Nasrat Haqparast,Rafa Garcia,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Red,Lightweight,25.0,26.0,Southpaw,Orthodox,177.8,170.18,182.88,177.8,155.0,155.0,0,0,4,2,0,0
19,Cortney Casey,JJ Aldrich,Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,33.0,28.0,Orthodox,Southpaw,170.18,165.1,170.18,170.18,125.0,125.0,0,0,5,7,4,3
20,Matthew Semelsberger,Jason Witt,Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Red,Welterweight,28.0,34.0,Switch,Orthodox,185.42,177.8,190.5,177.8,170.0,170.0,1,0,1,0,1,1
21,Rani Yahya,Ray Rodriguez,Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Red,Bantamweight,36.0,33.0,Orthodox,Orthodox,167.64,170.18,170.18,177.8,135.0,135.0,1,0,11,6,0,1
22,Gloria de Paula,Jinh Yu Frey,Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,25.0,35.0,Orthodox,Southpaw,165.1,160.02,170.18,165.1,115.0,115.0,0,0,0,0,0,2
23,Dominick Cruz,Casey Kenney,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Red,Bantamweight,35.0,29.0,Orthodox,Southpaw,172.72,170.18,172.72,172.72,140.0,135.0,5,2,5,2,5,1
24,Song Yadong,Kyler Phillips,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Blue,Bantamweight,23.0,25.0,Orthodox,Orthodox,172.72,172.72,170.18,182.88,135.0,145.0,4,2,5,1,2,0
25,Petr Yan,Aljamain Sterling,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Blue,Bantamweight,28.0,31.0,Switch,Orthodox,170.18,170.18,170.18,180.34,135.0,135.0,7,4,7,0,11,3
26,Jan Blachowicz,Israel Adesanya,Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Red,LightHeavyweight,38.0,31.0,Orthodox,Switch,187.96,193.04,198.12,203.2,185.0,205.0,1,9,10,5,9,0
27,Thiago Santos,Aleksandar Rakic,Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,37.0,29.0,Orthodox,Orthodox,187.96,193.04,193.04,198.12,205.0,205.0,0,4,13,7,5,1
28,Joseph Benavidez,Askar Askarov,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Blue,Flyweight,36.0,28.0,Southpaw,Orthodox,162.56,167.64,165.1,170.18,125.0,125.0,3,0,15,5,2,1
29,Amanda Nunes,Megan Anderson,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Red,WomenFeatherweight,32.0,31.0,Orthodox,Orthodox,172.72,182.88,175.26,182.88,145.0,145.0,2,0,13,1,3,2
30,Islam Makhachev,Drew Dober,Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Red,Lightweight,29.0,32.0,Southpaw,Southpaw,177.8,172.72,177.8,177.8,155.0,155.0,1,0,7,1,9,6
31,Tim Elliott,Jordan Espinosa,Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Red,Flyweight,34.0,31.0,Southpaw,Orthodox,170.18,167.64,167.64,175.26,125.0,125.0,0,1,5,9,2,3
32,Livinha Souza,Amanda Lemos,Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,29.0,33.0,Orthodox,Southpaw,160.02,162.56,160.02,165.1,115.0,115.0,2,0,3,1,2,1
